Category	Term		Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0006098	pentose-phosphate shunt	5	3.623188406	7.62E-07	"P92982, P92990"	53	25	17920	67.62264151	7.77E-05	7.70E-05	7.62E-05
GOTERM_BP_DIRECT	GO:0009751	response to salicylic acid	5	3.623188406	5.47E-04	"Q9C5S8, P52839, O65469, Q8H1H9"	53	130	17920	13.00435414	0.05425662	0.027611006	0.027337629
GOTERM_BP_DIRECT	GO:0005975	carbohydrate metabolic process	6	4.347826087	0.005345088	"P92982, P92990, F4J6T7"	53	390	17920	5.201741655	0.421120658	0.139615261	0.138232932
GOTERM_BP_DIRECT	GO:0012501	programmed cell death	3	2.173913043	0.006602362	"Q9C5S8, O65469"	53	42	17920	24.1509434	0.491186591	0.139615261	0.138232932
GOTERM_BP_DIRECT	GO:0042128	nitrate assimilation	3	2.173913043	0.006911647	"O82811, P92990"	53	43	17920	23.58929355	0.507093388	0.139615261	0.138232932
GOTERM_BP_DIRECT	GO:0071461	cellular response to redox state	2	1.449275362	0.008680604	P92990	53	3	17920	225.408805	0.589051321	0.146123493	0.144676725
GOTERM_BP_DIRECT	GO:0042547	cell wall modification involved in multidimensional cell growth	2	1.449275362	0.011557682	P92990	53	4	17920	169.0566038	0.694482756	0.166760835	0.165109738
GOTERM_BP_DIRECT	GO:0071555	cell wall organization	4	2.898550725	0.057678805	"Q9C9H5, O04478, Q9SKU2, F4J6T7"	53	303	17920	4.463540694	0.997664962	0.650700171	0.644257595
GOTERM_BP_DIRECT	GO:0009827	plant-type cell wall modification	2	1.449275362	0.059233411	P92990	53	21	17920	32.20125786	0.998026885	0.650700171	0.644257595
GOTERM_BP_DIRECT	GO:0009733	response to auxin	4	2.898550725	0.069677	"Q9FJF9, Q9ZUZ3, Q9XFM0, Q8H1H9"	53	328	17920	4.123331799	0.999368107	0.650700171	0.644257595
GOTERM_BP_DIRECT	GO:0042742	defense response to bacterium	4	2.898550725	0.076331571	"Q9C5S8, P92990"	53	341	17920	3.966137332	0.999696162	0.650700171	0.644257595
GOTERM_BP_DIRECT	GO:0030245	cellulose catabolic process	2	1.449275362	0.078202365	"Q9C9H5, O04478"	53	28	17920	24.1509434	0.999752924	0.650700171	0.644257595
GOTERM_BP_DIRECT	GO:0009753	response to jasmonic acid	3	2.173913043	0.083753487	"Q9SSL9, O64989, Q8H1H9"	53	166	17920	6.110479654	0.999866569	0.650700171	0.644257595
