Category	Term	Response	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0009409	response to cold	12	6.12244898	8.60E-07	"Q8H1E4, P27521, P92973, O81001, O23553, Q39084, Q8L8T7, Q04980, O23141, Q9LIS2"	81	376	17920	7.060677699	1.63E-04	1.63E-04	1.59E-04
GOTERM_BP_DIRECT	GO:0007623	circadian rhythm	5	2.551020408	0.001749107	"P92973, Q1G3I2, Q84V03, Q9SJU5, Q9LHH5"	81	115	17920	9.618894257	0.282958322	0.110193742	0.107861599
GOTERM_BP_DIRECT	GO:0045595	regulation of cell differentiation	3	1.530612245	0.005096834	"Q8H1E4, O23553"	81	24	17920	27.65432099	0.621248433	0.19266033	0.188582863
GOTERM_BP_DIRECT	GO:0000024	maltose biosynthetic process	2	1.020408163	0.00890889	O23553	81	2	17920	221.2345679	0.817366542	0.240540019	0.235449225
GOTERM_BP_DIRECT	GO:0010647	positive regulation of cell communication	2	1.020408163	0.00890889	F4HW02	81	2	17920	221.2345679	0.817366542	0.240540019	0.235449225
GOTERM_BP_DIRECT	GO:0009873	ethylene-activated signaling pathway	5	2.551020408	0.011906457	"Q8H1E4, Q9ZWJ9, Q8GWK2, Q9ZWA2, Q8L9K1"	81	198	17920	5.586731513	0.897285519	0.281290037	0.275336808
GOTERM_BP_DIRECT	GO:0015812	gamma-aminobutyric acid transport	2	1.020408163	0.017739394	F4HW02	81	4	17920	110.617284	0.966651364	0.344627122	0.337333426
GOTERM_BP_DIRECT	GO:0006865	amino acid transport	3	1.530612245	0.035119381	"P92962, Q84WE9, F4HW02"	81	66	17920	10.05611672	0.998878031	0.511288135	0.500467222
GOTERM_BP_DIRECT	GO:0019222	regulation of metabolic process	2	1.020408163	0.035167967	O81001	81	8	17920	55.30864198	0.998888715	0.511288135	0.500467222
GOTERM_BP_DIRECT	GO:0009753	response to jasmonic acid	4	2.040816327	0.038193259	"Q9SKN0, Q8L9V6, O23141, Q9LMA8"	81	166	17920	5.330953443	0.999388093	0.515608992	0.504696632
GOTERM_BP_DIRECT	GO:0071368	cellular response to cytokinin stimulus	2	1.020408163	0.04376738	"Q9ZWJ9, P62598"	81	10	17920	44.24691358	0.999797197	0.551468983	0.539797682
GOTERM_BP_DIRECT	GO:0048509	regulation of meristem development	2	1.020408163	0.048038659	F4HW02	81	11	17920	40.22446689	0.99991337	0.562455446	0.550551627
GOTERM_BP_DIRECT	GO:0009737	response to abscisic acid	6	3.06122449	0.05397611	"Q9SKN0, Q39084, Q8L8T7, Q04980, O23141, Q9FL26"	81	458	17920	2.898269448	0.999973612	0.562455446	0.550551627
GOTERM_BP_DIRECT	GO:0009736	cytokinin-activated signaling pathway	3	1.530612245	0.05654314	"Q8H1E4, Q9ZWJ9, P62598"	81	86	17920	7.717484927	0.999984253	0.562455446	0.550551627
GOTERM_BP_DIRECT	GO:0055085	transmembrane transport	5	2.551020408	0.060171661	"Q3E9Z9, Q2V4F9, Q9LSJ2, Q9LS46, Q9M1C7"	81	330	17920	3.352038908	0.999992428	0.568622198	0.556587866
GOTERM_BP_DIRECT	GO:0015743	malate transport	2	1.020408163	0.069114069	"Q3E9Z9, Q9LS46"	81	16	17920	27.65432099	0.999998769	0.573810806	0.561666661
GOTERM_BP_DIRECT	GO:0010497	plasmodesmata-mediated intercellular transport	2	1.020408163	0.08153745	F4HW02	81	19	17920	23.28784925	0.999999904	0.620046896	0.606924211
GOTERM_BP_DIRECT	GO:0048364	root development	4	2.040816327	0.082016785	"Q9ZWJ9, O81001, P62598"	81	228	17920	3.881308209	0.999999913	0.620046896	0.606924211
GOTERM_BP_DIRECT	GO:0009611	response to wounding	4	2.040816327	0.087921177	"Q8H1E4, Q8L9V6, O23141, Q9LMA8"	81	235	17920	3.765694773	0.999999975	0.639119327	0.625592992
GOTERM_BP_DIRECT	GO:0009414	response to water deprivation	5	2.551020408	0.091445233	"Q8H1E4, Q39084, Q04980, Q9LIS2, P62598"	81	382	17920	2.895740418	0.999999988	0.640116629	0.626569187
GOTERM_BP_DIRECT	GO:0005983	starch catabolic process	2	1.020408163	0.097847598	O23553	81	23	17920	19.23778851	0.999999997	0.649425812	0.635681351
