Category	Term	Response	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0009409	response to cold	6	6.818181818	8.74E-04	"Q8H1E4, P92973, Q9SVM8, Q8L8T7, Q04980, Q9LIS2"	37	376	17920	7.728579643	0.09961401	0.056932986	0.053583987
GOTERM_BP_DIRECT	GO:0009651	response to salt stress	6	6.818181818	0.001139466	"Q8H1E4, Q9SVM8, Q93ZH9, Q9XI93, Q04980, Q9LIS2"	37	399	17920	7.283072546	0.127867502	0.056932986	0.053583987
GOTERM_BP_DIRECT	GO:0048511	rhythmic process	3	3.409090909	0.001435285	"O04211, Q8L8T7, O80877"	37	28	17920	51.89189189	0.158322172	0.056932986	0.053583987
GOTERM_BP_DIRECT	GO:0006858	extracellular transport	2	2.272727273	0.008012201	"Q9SVM8, Q9LIS2"	37	4	17920	242.1621622	0.619144977	0.190690375	0.179473294
GOTERM_BP_DIRECT	GO:0045040	protein import into mitochondrial outer membrane	2	2.272727273	0.011994862	Q9LMG7	37	6	17920	161.4414414	0.764980231	0.203912646	0.191917784
GOTERM_BP_DIRECT	GO:0006109	regulation of carbohydrate metabolic process	2	2.272727273	0.01793972	Q9LMG7	37	9	17920	107.6276276	0.88608589	0.237202967	0.223249851
GOTERM_BP_DIRECT	GO:0042753	positive regulation of circadian rhythm	2	2.272727273	0.025812126	"O04211, O80877"	37	13	17920	74.51143451	0.956636301	0.307164304	0.289095815
GOTERM_BP_DIRECT	GO:0006626	protein targeting to mitochondrion	2	2.272727273	0.031676133	Q9LMG7	37	16	17920	60.54054054	0.978987566	0.314121652	0.295643908
GOTERM_BP_DIRECT	GO:0009414	response to water deprivation	4	4.545454545	0.040860031	"Q8H1E4, Q9SVM8, Q04980, Q9LIS2"	37	382	17920	5.071458893	0.993303641	0.374026435	0.35202488
GOTERM_BP_DIRECT	GO:0006970	response to osmotic stress	3	3.409090909	0.045666324	"Q8H1E4, Q9SVM8, Q9LIS2"	37	170	17920	8.546899841	0.996335372	0.388163753	0.365330591
GOTERM_BP_DIRECT	GO:0010017	red or far-red light signaling pathway	2	2.272727273	0.056692706	"Q8H1E4, O04211"	37	29	17920	33.40167754	0.999091378	0.449762134	0.423305538
GOTERM_BP_DIRECT	GO:0009408	response to heat	3	3.409090909	0.061493242	"Q8H1E4, P92973, Q9XI93"	37	201	17920	7.228721259	0.999507407	0.457355985	0.430452692
GOTERM_BP_DIRECT	GO:0009828	plant-type cell wall loosening	2	2.272727273	0.071773993	"Q9M203, Q9SKU2"	37	37	17920	26.17969321	0.999868645	0.484573146	0.456068843
GOTERM_BP_DIRECT	GO:0009653	anatomical structure morphogenesis	2	2.272727273	0.077368822	"Q9M203, Q9SKU2"	37	40	17920	24.21621622	0.999936412	0.484573146	0.456068843
GOTERM_BP_DIRECT	GO:0042752	regulation of circadian rhythm	2	2.272727273	0.077368822	"O04211, Q8L8T7"	37	40	17920	24.21621622	0.999936412	0.484573146	0.456068843
