Category	Term	Response	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:2000031	regulation of salicylic acid mediated signaling pathway	6	1.418439716	1.71E-06	"Q9LY00, Q93WU8, Q9C7N2, Q9FDW1"	138	27	17920	28.85668277	4.86E-04	4.84E-04	4.71E-04
GOTERM_BP_DIRECT	GO:0008219	cell death	6	1.418439716	6.55E-06	"P21240, P42736, Q8RW90, Q9C7N2"	138	35	17920	22.26086957	0.001859162	9.27E-04	9.01E-04
GOTERM_BP_DIRECT	GO:0006950	response to stress	7	1.654846336	2.52E-05	"Q9C7X7, Q8GUM2, Q9SB00, Q8LB72, Q9C7N2, Q9SKY8"	138	76	17920	11.96033562	0.007134105	0.002378125	0.002310899
GOTERM_BP_DIRECT	GO:0006355	"regulation of transcription, DNA-templated"	26	6.146572104	2.40E-04	"Q3EAI1, Q5PP28, Q94BZ5, Q94F58, Q9LY00, Q9FLI1, Q8L9K1, O81316, Q9LXV5, Q84LG2, Q9M644, Q9M202, Q681X4, Q9SHB5, P93007, P42736, O82503, Q9SB00, Q93WV6, Q9ZVX2, Q93WU8, Q9FDW1, Q8L3X8, Q8H0T5"	138	1538	17920	2.195209287	0.065880814	0.016975781	0.0164959
GOTERM_BP_DIRECT	GO:0009873	ethylene-activated signaling pathway	8	1.891252955	8.30E-04	"P93007, O82503, P42736, Q9LY00, Q93WU8, Q8L9K1, Q9M644, Q8H0T5"	138	198	17920	5.246669594	0.209968469	0.040234099	0.039096739
GOTERM_BP_DIRECT	GO:0046938	phytochelatin biosynthetic process	3	0.709219858	8.53E-04	Q9C7N2	138	6	17920	64.92753623	0.215227173	0.040234099	0.039096739
GOTERM_BP_DIRECT	GO:0007623	circadian rhythm	6	1.418439716	0.001901673	"B9DFA8, Q9SB00, O50055, O23254, O81316"	138	115	17920	6.775047259	0.417595142	0.076881942	0.074708601
GOTERM_BP_DIRECT	GO:0010337	regulation of salicylic acid metabolic process	3	0.709219858	0.003642008	Q9C7N2	138	12	17920	32.46376812	0.645206162	0.121931305	0.118484484
GOTERM_BP_DIRECT	GO:0009408	response to heat	7	1.654846336	0.004508475	"Q9C7X7, Q9ZQ80, Q9SAJ4, Q9SIF2, Q9FDW1, Q9SKY8"	138	201	17920	4.522315956	0.722879242	0.121931305	0.118484484
GOTERM_BP_DIRECT	GO:2000022	regulation of jasmonic acid mediated signaling pathway	4	0.945626478	0.004604606	"Q9LY00, Q93WU8, Q9FDW1, Q9LMA8"	138	44	17920	11.80500659	0.730376307	0.121931305	0.118484484
GOTERM_BP_DIRECT	GO:0042742	defense response to bacterium	9	2.127659574	0.004739379	"F4HVY0, Q9ZUF4, P92990, Q9LY00, Q93WU8, Q9C7N2, Q9FDW1, Q9LMA8"	138	341	17920	3.427259977	0.740547961	0.121931305	0.118484484
GOTERM_BP_DIRECT	GO:0006955	immune response	3	0.709219858	0.00911178	Q9C7N2	138	19	17920	20.50343249	0.925697232	0.214886141	0.208811621
GOTERM_BP_DIRECT	GO:0006952	defense response	12	2.836879433	0.01137899	"O65482, Q9C7I7, A0A1P8BH59, Q9ZQ80, Q8L5T9, O04023, Q9LMU2, Q9SII6, Q8L9K1, Q9C7N2, Q9FG91"	138	651	17920	2.393641889	0.961232007	0.220639658	0.214402494
GOTERM_BP_DIRECT	GO:0006457	protein folding	5	1.182033097	0.011418547	"Q9C7X7, P21240, Q8GUM2, Q9SIF2, Q9SKY8"	138	114	17920	5.695397915	0.961670055	0.220639658	0.214402494
GOTERM_BP_DIRECT	GO:0009651	response to salt stress	9	2.127659574	0.011694682	"Q9FFA5, Q9ZQ80, Q9C7A2, Q94KT8, Q9SIF2, O23141, Q9FDW1, Q02283"	138	399	17920	2.929061785	0.964593612	0.220639658	0.214402494
GOTERM_BP_DIRECT	GO:1903842	response to arsenite ion	2	0.472813239	0.015232155	Q9SB00	138	2	17920	129.8550725	0.987211602	0.243934821	0.237039137
GOTERM_BP_DIRECT	GO:0010647	positive regulation of cell communication	2	0.472813239	0.015232155	F4HW02	138	2	17920	129.8550725	0.987211602	0.243934821	0.237039137
GOTERM_BP_DIRECT	GO:0010038	response to metal ion	3	0.709219858	0.015515289	Q9C7N2	138	25	17920	15.5826087	0.988214468	0.243934821	0.237039137
GOTERM_BP_DIRECT	GO:0009751	response to salicylic acid	5	1.182033097	0.017674721	"Q9LKA1, Q9LY00, Q93WU8, Q9FDW1, Q9SAA7"	138	130	17920	4.994425864	0.993683	0.263260324	0.255818336
GOTERM_BP_DIRECT	GO:0006139	nucleobase-containing compound metabolic process	3	0.709219858	0.019260345	"Q9SB00, Q8LB72"	138	28	17920	13.91304348	0.996007353	0.268397589	0.260810378
GOTERM_BP_DIRECT	GO:0032260	response to jasmonic acid stimulus involved in jasmonic acid and ethylene-dependent systemic resistance	2	0.472813239	0.022761633	Q9C5Q9	138	3	17920	86.57004831	0.998554079	0.268397589	0.260810378
GOTERM_BP_DIRECT	GO:0055063	sulfate ion homeostasis	2	0.472813239	0.022761633	Q9SB00	138	3	17920	86.57004831	0.998554079	0.268397589	0.260810378
GOTERM_BP_DIRECT	GO:0071461	cellular response to redox state	2	0.472813239	0.022761633	P92990	138	3	17920	86.57004831	0.998554079	0.268397589	0.260810378
GOTERM_BP_DIRECT	GO:0045740	positive regulation of DNA replication	2	0.472813239	0.022761633	O81831	138	3	17920	86.57004831	0.998554079	0.268397589	0.260810378
GOTERM_BP_DIRECT	GO:0009737	response to abscisic acid	9	2.127659574	0.024570643	"Q39084, O81831, Q9LKA1, O23141, Q9FDW1, Q9FNF8, Q5XV99, Q9SAA7"	138	458	17920	2.551737232	0.999145694	0.278139683	0.270277077
GOTERM_BP_DIRECT	GO:0009846	pollen germination	4	0.945626478	0.026579304	"Q9M0D7, Q9FKI0, Q94A08, Q9SFU3"	138	84	17920	6.183574879	0.999524267	0.289305498	0.281127251
GOTERM_BP_DIRECT	GO:0015812	gamma-aminobutyric acid transport	2	0.472813239	0.030233959	F4HW02	138	4	17920	64.92753623	0.999836537	0.305578938	0.296940664
GOTERM_BP_DIRECT	GO:0042547	cell wall modification involved in multidimensional cell growth	2	0.472813239	0.030233959	P92990	138	4	17920	64.92753623	0.999836537	0.305578938	0.296940664
GOTERM_BP_DIRECT	GO:0009845	seed germination	4	0.945626478	0.033534218	"Q7EB72, Q9LJ97, Q9SFU3"	138	92	17920	5.645872716	0.999937919	0.327247718	0.317996899
GOTERM_BP_DIRECT	GO:0010226	response to lithium ion	2	0.472813239	0.037649562	Q9LJ97	138	5	17920	51.94202899	0.999981523	0.334271886	0.324822504
GOTERM_BP_DIRECT	GO:0000719	photoreactive repair	2	0.472813239	0.037649562	Q9SB00	138	5	17920	51.94202899	0.999981523	0.334271886	0.324822504
GOTERM_BP_DIRECT	GO:0009753	response to jasmonic acid	5	1.182033097	0.038670378	"P42736, O23141, Q9LY00, Q9FDW1, Q9LMA8"	138	166	17920	3.911297363	0.999986331	0.334271886	0.324822504
GOTERM_BP_DIRECT	GO:0002213	defense response to insect	3	0.709219858	0.039183609	"F4HXL0, Q9C5Q9"	138	41	17920	9.501590668	0.999988254	0.334271886	0.324822504
GOTERM_BP_DIRECT	GO:0012501	programmed cell death	3	0.709219858	0.040940997	"P42736, Q9C7N2"	138	42	17920	9.275362319	0.999993017	0.334271886	0.324822504
GOTERM_BP_DIRECT	GO:0009626	plant-type hypersensitive response	4	0.945626478	0.041341046	"Q94F58, Q9C7N2"	138	100	17920	5.194202899	0.999993797	0.334271886	0.324822504
GOTERM_BP_DIRECT	GO:0009738	abscisic acid-activated signaling pathway	6	1.418439716	0.043762885	"Q9ZQ80, Q39086, Q9FDW1, Q9SLV1, O22932"	138	251	17920	3.104105318	0.999996976	0.33472693	0.325264685
GOTERM_BP_DIRECT	GO:0071456	cellular response to hypoxia	6	1.418439716	0.043762885	"O81831, O04023, Q8RX87, Q9LY00, Q8H0T5"	138	251	17920	3.104105318	0.999996976	0.33472693	0.325264685
GOTERM_BP_DIRECT	GO:0002229	defense response to oomycetes	3	0.709219858	0.056008985	"P92990, Q9LY00"	138	50	17920	7.791304348	0.999999922	0.417119545	0.40532818
GOTERM_BP_DIRECT	GO:1900457	regulation of brassinosteroid mediated signaling pathway	2	0.472813239	0.059560296	"Q9LY00, Q93WU8"	138	8	17920	32.46376812	0.999999973	0.424763124	0.412755686
GOTERM_BP_DIRECT	GO:0009809	lignin biosynthetic process	3	0.709219858	0.060037191	Q9C7N2	138	52	17920	7.491638796	0.999999977	0.424763124	0.412755686
GOTERM_BP_DIRECT	GO:0031347	regulation of defense response	3	0.709219858	0.064161894	"Q9LY00, Q93WU8, Q9LMA8"	138	54	17920	7.214170692	0.999999993	0.429344786	0.417207831
GOTERM_BP_DIRECT	GO:0045736	negative regulation of cyclin-dependent protein serine/threonine kinase activity	2	0.472813239	0.066753253	O81831	138	9	17920	28.85668277	0.999999997	0.429344786	0.417207831
GOTERM_BP_DIRECT	GO:0071486	cellular response to high light intensity	2	0.472813239	0.066753253	Q9SB00	138	9	17920	28.85668277	0.999999997	0.429344786	0.417207831
GOTERM_BP_DIRECT	GO:0006873	cellular ion homeostasis	2	0.472813239	0.066753253	Q9LJ97	138	9	17920	28.85668277	0.999999997	0.429344786	0.417207831
GOTERM_BP_DIRECT	GO:0009409	response to cold	7	1.654846336	0.068970397	"Q9ZQ80, P21240, Q9M9M4, Q39084, Q8RX87, O23141"	138	376	17920	2.417514647	0.999999998	0.433747166	0.421485762
GOTERM_BP_DIRECT	GO:0009414	response to water deprivation	7	1.654846336	0.073207717	"F4HVY0, Q39084, Q9SIF2, Q9M9W9, Q9FDW1, Q9LHJ8, Q7DM58"	138	382	17920	2.379543213	1	0.444921718	0.432344425
GOTERM_BP_DIRECT	GO:0010104	regulation of ethylene-activated signaling pathway	2	0.472813239	0.073891593	"Q9LY00, Q93WU8"	138	10	17920	25.97101449	1	0.444921718	0.432344425
GOTERM_BP_DIRECT	GO:0010115	regulation of abscisic acid biosynthetic process	2	0.472813239	0.080975727	Q9ZQ80	138	11	17920	23.61001318	1	0.452525639	0.439733395
GOTERM_BP_DIRECT	GO:0016444	somatic cell DNA recombination	2	0.472813239	0.080975727	Q9ZQ80	138	11	17920	23.61001318	1	0.452525639	0.439733395
GOTERM_BP_DIRECT	GO:0048509	regulation of meristem development	2	0.472813239	0.080975727	F4HW02	138	11	17920	23.61001318	1	0.452525639	0.439733395
GOTERM_BP_DIRECT	GO:0010311	lateral root formation	3	0.709219858	0.081550557	"Q9ZQ80, O81831"	138	62	17920	6.283309958	1	0.452525639	0.439733395
GOTERM_BP_DIRECT	GO:0010150	leaf senescence	4	0.945626478	0.095270633	"Q9LKA1, Q9LY00, P46644, Q9SAA7"	138	142	17920	3.657889365	1	0.5184921	0.503835079
