Category	Term	Response	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0009626	plant-type hypersensitive response	19	0.985477178	2.58E-08	"Q94F62, Q8L612, Q4F883, Q9SGN6, O64973, F4HVW5, Q94F58, Q8GYN5, C0LGT6, Q941L3, Q9LMX4, Q9C7N2, Q9C7R6, F4JSE7, Q39023, Q8W4Q5, Q39214"	667	100	17920	5.104647676	2.12E-05	1.06E-05	1.04E-05
GOTERM_BP_DIRECT	GO:0010337	regulation of salicylic acid metabolic process	7	0.363070539	1.97E-06	"Q0WS06, Q9SGN6, Q9MA41, Q9C7N2"	667	12	17920	15.67216392	0.001608786	0.000402029	0.000394165
GOTERM_BP_DIRECT	GO:0009414	response to water deprivation	32	1.659751037	4.24E-05	"Q9FIH9, Q940D0, F4JKK0, Q04980, Q9LHJ8, Q9FLV9, Q93VD3, P93758, Q8H1E4, Q39193, Q84TG3, Q39096, Q94KE2, Q9SGQ0, Q39010, P62598, Q9C983, Q9MA41, O04719, Q9LN09, P58766, Q9FK04, Q96290, Q94A06, Q39084, Q9SVM8, Q9LS40, P42759, Q5E930, Q9LIS2, Q84TH9, Q9MA15"	667	382	17920	2.250602447	0.034118951	0.006934294	0.00679866
GOTERM_BP_DIRECT	GO:0009409	response to cold	30	1.556016598	0.000180559	"Q39008, Q8RXN6, O65440, Q04980, Q9FFN7, Q9SHH8, Q8H1E4, Q04836, Q9LMX4, Q93Y07, Q9M9M4, O23553, Q8L8T7, Q96290, Q9LUW5, Q9ZQ80, P92973, Q9SUM4, Q39084, Q9SVM8, P42759, Q9FIU5, O23141, Q9ZNS6, Q9LIS2, Q39023"	667	376	17920	2.143609047	0.137474783	0.024616164	0.024134674
GOTERM_BP_DIRECT	GO:0008219	cell death	8	0.414937759	0.0002572	"Q94F62, P42736, O64973, Q8L7G0, Q9C7N2"	667	35	17920	6.140929535	0.189961757	0.030055647	0.029467761
GOTERM_BP_DIRECT	GO:0010017	red or far-red light signaling pathway	7	0.363070539	0.000588743	"Q8L5W8, Q8H1E4, Q9FYE2, O04211, Q9LJB7, Q9LIE5, P40228"	667	29	17920	6.485033345	0.382652041	0.053510191	0.052463537
GOTERM_BP_DIRECT	GO:0006468	protein phosphorylation	13	0.674273859	0.000794999	"Q9SXB8, Q9ZUF4, Q9LK43, Q39010, Q06850, Q9S972, P40228, Q39023, Q9LFS4, O22932, Q39203, Q8GYN5"	667	110	17920	3.175139703	0.478665411	0.064050696	0.06279787
GOTERM_BP_DIRECT	GO:0046938	phytochelatin biosynthetic process	4	0.20746888	0.000939619	"Q93V51, Q9C7N2"	667	6	17920	17.91104448	0.536945137	0.064050696	0.06279787
GOTERM_BP_DIRECT	GO:0007623	circadian rhythm	13	0.674273859	0.001178519	"O82256, P92973, B9DFA8, Q9SB00, O50055, Q1G3I2, Q84V03, Q9LIE5, O81316, F4IDB2, Q9SJU5, O80507"	667	115	17920	3.037090151	0.619312539	0.074156064	0.072705578
GOTERM_BP_DIRECT	GO:0010205	photoinhibition	5	0.2593361	0.001404859	"O04719, Q9LMX4"	667	14	17920	9.595202399	0.683802488	0.082083886	0.080478333
GOTERM_BP_DIRECT	GO:0006970	response to osmotic stress	16	0.829875519	0.001725841	"Q39008, Q9C983, O04719, Q9LHJ8, Q9XEE9, Q5YDB5, Q8LD98, Q8H1E4, Q9LSY6, Q9SVM8, Q39193, Q8GX77, O23141, Q9MAH1, Q9LIS2, Q39023"	667	170	17920	2.528618044	0.756997732	0.094115837	0.09227494
GOTERM_BP_DIRECT	GO:0010038	response to metal ion	6	0.31120332	0.001999001	"P29402, Q9STJ9, Q9C7N2"	667	25	17920	6.447976012	0.805791048	0.09618724	0.094305827
GOTERM_BP_DIRECT	GO:0006644	phospholipid metabolic process	5	0.2593361	0.003056568	"Q9LMX4, Q8S8S2"	667	17	17920	7.901931387	0.918500843	0.138904024	0.136187074
GOTERM_BP_DIRECT	GO:0048367	shoot system development	11	0.570539419	0.003477209	"Q8RWW0, Q940D0, Q9LYD9, Q9SZH4, Q9ZUU1, Q9SZR1, P62598, Q9LMM6, Q9SZD4, Q9C9Q8, Q9XIE6"	667	98	17920	3.01563504	0.942317241	0.149702999	0.146774823
GOTERM_BP_DIRECT	GO:0009651	response to salt stress	27	1.400414938	0.004192914	"Q39008, Q9SGN6, Q04980, Q9FLV9, P93758, Q8H1E4, Q39193, Q9C7A2, Q9XI93, Q9LIR4, Q9SGQ0, Q9C8K2, Q9C983, Q9MA41, P58766, Q9FK04, Q9ZQ80, Q9LSY6, Q9SVM8, Q93ZH9, Q5E930, Q8GX77, F4I9E1, O23141, Q9MAH1, Q9LIS2"	667	399	17920	1.818038349	0.967974276	0.155900159	0.152850767
GOTERM_BP_DIRECT	GO:0071368	cellular response to cytokinin stimulus	4	0.20746888	0.005042309	"Q9ZWJ9, Q9LVW3, Q940D0, P62598"	667	10	17920	10.74662669	0.984078703	0.179330814	0.175823121
GOTERM_BP_DIRECT	GO:0009631	cold acclimation	8	0.414937759	0.007934215	"Q39008, Q04836, Q39084, Q9SVM8, P42759, F4I1G5, Q9FIU5, Q9SGQ0"	667	62	17920	3.46665377	0.998532269	0.270424483	0.265135006
GOTERM_BP_DIRECT	GO:0042753	positive regulation of circadian rhythm	4	0.20746888	0.011058851	"O04211, Q9LIE5, O80877, O80507"	667	13	17920	8.266635913	0.999889185	0.347928454	0.341123008
