Category	Term	Response	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0009414	response to water deprivation	10	4.87804878	2.41E-05	"Q940D0, Q9SVM8, P42759, Q39193, F4JKK0, Q04980, Q9M9W9, Q9LIS2, P62598, P93758"	74	382	17920	6.339323617	0.004256566	0.0042415	0.004193301
GOTERM_BP_DIRECT	GO:0071368	cellular response to cytokinin stimulus	3	1.463414634	7.21E-04	"Q9ZWJ9, Q940D0, P62598"	74	10	17920	72.64864865	0.119875954	0.049274497	0.048714559
GOTERM_BP_DIRECT	GO:0009409	response to cold	8	3.902439024	8.40E-04	"P92973, Q04836, Q9SVM8, P42759, Q04980, Q9ZNS6, Q9LIS2, Q9FFN7"	74	376	17920	5.152386429	0.138194665	0.049274497	0.048714559
GOTERM_BP_DIRECT	GO:0032260	jasmonic acid and ethylene-dependent systemic resistance	2	0.975609756	0.012171942	Q9C5Q9	74	3	17920	161.4414414	0.885554088	0.316735315	0.31313605
GOTERM_BP_DIRECT	GO:0010082	regulation of root meristem growth	3	1.463414634	0.015090933	"Q9ZWJ9, Q940D0, P62598"	74	46	17920	15.79318449	0.932217745	0.316735315	0.31313605
GOTERM_BP_DIRECT	GO:0006858	extracellular transport	2	0.975609756	0.016196692	"Q9SVM8, Q9LIS2"	74	4	17920	121.0810811	0.944439611	0.316735315	0.31313605
GOTERM_BP_DIRECT	GO:0031537	regulation of anthocyanin metabolic process	2	0.975609756	0.024197733	"Q940D0, P62598"	74	6	17920	80.72072072	0.986906896	0.378036352	0.373740484
GOTERM_BP_DIRECT	GO:0009631	cold acclimation	3	1.463414634	0.026446407	"Q04836, Q9SVM8, P42759"	74	62	17920	11.71752398	0.991296461	0.378036352	0.373740484
GOTERM_BP_DIRECT	GO:0010581	regulation of starch biosynthetic process	2	0.975609756	0.032134588	F4KFB3	74	8	17920	60.54054054	0.996915039	0.378036352	0.373740484
GOTERM_BP_DIRECT	GO:0009735	response to cytokinin	3	1.463414634	0.032219007	"Q9ZWJ9, Q940D0, P62598"	74	69	17920	10.52878966	0.996962302	0.378036352	0.373740484
GOTERM_BP_DIRECT	GO:0080036	regulation of cytokinin-activated signaling pathway	2	0.975609756	0.036079104	"Q940D0, P62598"	74	9	17920	53.81381381	0.998502638	0.396870144	0.392360256
GOTERM_BP_DIRECT	GO:0010337	regulation of salicylic acid metabolic process	2	0.975609756	0.047817765	Q0WS06	74	12	17920	40.36036036	0.99982882	0.444977851	0.439921285
GOTERM_BP_DIRECT	GO:0009736	cytokinin-activated signaling pathway	3	1.463414634	0.048037382	"Q9ZWJ9, Q940D0, P62598"	74	86	17920	8.447517285	0.999835668	0.444977851	0.439921285
GOTERM_BP_DIRECT	GO:0048367	shoot system development	3	1.463414634	0.060568189	"Q8RWW0, Q940D0, P62598"	74	98	17920	7.413127413	0.999984255	0.506001917	0.500251896
GOTERM_BP_DIRECT	GO:0010380	regulation of chlorophyll biosynthetic process	2	0.975609756	0.06325024	"Q940D0, P62598"	74	16	17920	30.27027027	0.999990508	0.506001917	0.500251896
GOTERM_BP_DIRECT	GO:0009651	response to salt stress	5	2.43902439	0.079762009	"Q9SVM8, Q39193, Q04980, Q9LIS2, P93758"	74	399	17920	3.034613561	0.999999592	0.578647857	0.572072314
GOTERM_BP_DIRECT	GO:0010492	maintenance of shoot apical meristem identity	2	0.975609756	0.082194298	"Q940D0, P62598"	74	21	17920	23.06306306	0.999999745	0.578647857	0.572072314
