Category	Term	Resonse	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0045088	regulation of innate immune response	15	1.913265306	5.86E-20	C0LGN2	297	23	17920	39.35002196	2.65E-17	2.64E-17	2.56E-17
GOTERM_BP_DIRECT	GO:0009861	jasmonic acid and ethylene-dependent systemic resistance	17	1.913265306	3.10E-19	C0LGN2	297	25	17920	36.2020202	1.40E-16	6.99E-17	6.77E-17
GOTERM_BP_DIRECT	GO:0071368	cellular response to cytokinin stimulus	5	0.637755102	1.42E-05	"Q9ZWJ9, Q9LVW3, Q940D0, P0DO12, P62598"	297	10	17920	30.16835017	0.006381723	0.001277593	0.001237934
GOTERM_BP_DIRECT	GO:0009809	lignin biosynthetic process	8	1.020408163	2.21E-05	"Q9FI78, Q9LSP9, Q9C7N2, Q42600"	297	52	17920	9.282569283	0.009949936	0.001662922	0.001611302
GOTERM_BP_DIRECT	GO:0010337	regulation of salicylic acid metabolic process	5	0.637755102	3.25E-05	"Q0WS06, Q9C7N2"	297	12	17920	25.14029181	0.014593757	0.002095504	0.002030455
GOTERM_BP_DIRECT	GO:0046938	phytochelatin biosynthetic process	4	0.510204082	8.60E-05	"Q93V51, Q9C7N2"	297	6	17920	40.22446689	0.038126535	0.004848088	0.004697593
GOTERM_BP_DIRECT	GO:0009873	ethylene-activated signaling pathway	13	1.658163265	0.000116145	"O48538, Q52QU1, Q0WS06, Q8W4I5, P28186, Q9ZWJ9, Q9M210, Q9FE67, O82503, Q9SUK8, Q93WU8, F4JSE7, Q9FJ90"	297	198	17920	3.961500527	0.051146267	0.005820158	0.005639488
GOTERM_BP_DIRECT	GO:0009409	response to cold	17	2.168367347	0.000545272	"Q8LPQ8, Q9M9M4, O23553, Q8L8T7, Q04980, Q9FIL7, Q9FFN7, Q9SHH8, Q9LUW5, P92973, Q04836, Q9SUM4, Q9SVM8, P42759, Q9ZNS6, Q9LIS2"	297	376	17920	2.727989111	0.21849205	0.024591747	0.023828366
GOTERM_BP_DIRECT	GO:0016117	carotenoid biosynthetic process	5	0.637755102	0.002289379	"Q9FI78, Q93VK5, Q39089"	297	34	17920	8.873044167	0.645123566	0.093864537	0.090950782
GOTERM_BP_DIRECT	GO:0009658	chloroplast organization	9	1.147959184	0.005177937	"Q9FIG9, Q9XI19, Q9LXJ0, Q84WN0, Q9FM80, Q9SZL6, Q39089, Q9ZT91"	297	160	17920	3.393939394	0.904297216	0.15237663	0.147646535
